STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000514,0,0,0,158,84
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000515,0,0,0,143,64
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000516,0,0,0,179,58
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000517,0,0,0,198,67
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000518,345,0,0,147,42
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000519,0,0,0,124,20
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000520,0,0,0,171,28
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000521,0,0,0,171,90
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000522,0,0,0,193,122
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000523,10,0,0,195,128
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000524,220,0,0,216,125
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000525,60,0,0,182,111
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000526,15,0,0,172,90
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000527,0,0,0,172,81
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000528,0,0,0,159,98
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000529,0,0,0,193,86
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000530,0,0,0,233,88
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000531,0,0,0,209,128
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000601,0,0,0,244,145
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000602,5,0,0,219,111
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000603,10,0,0,219,90
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000604,10,0,0,161,57
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000605,0,0,0,201,31
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000606,5,0,0,146,86
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000607,0,0,0,200,81
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000608,35,0,0,197,109
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000609,0,0,0,189,124
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000610,30,0,0,142,80
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000611,130,0,0,146,72
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000612,0,0,0,205,84
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000613,0,0,0,209,118
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000614,0,0,0,183,128
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000615,180,0,0,259,141
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000616,5,0,0,285,180
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000617,5,0,0,240,134
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000618,0,0,0,162,103
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000619,5,0,0,219,89
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000620,0,0,0,258,133
