"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"DEN-0.8P1","2013-04-09  14:47:57","91","10,9","776","8,2","6,9","=","18000","0","0,1","420","0,5","40","0,1","64000","0,1","0,8","14","1,4","4,1","770","5200","11000","53","1,7","73000","130","2,6","90","0,8","16","0,5","0,5","1,3","1,5","31"
"DEN-0.8P1","2013-05-07  13:29:26","121","13,74","305","8,4","14,8","=","18","1","0,1","1700","0,6","36","0,1","37000","0,1","1,5","3,1","3,4","10","2000","1800","4400","49","1","24000","20","5,7","98","2,9","47","0,5","0,5","0,3","3,5","88"
"DEN-0.8P1","2013-05-29  13:15:25","107","10,59","618","7,9","15,8","=","230","0","0,1","600","0,5","40","0,1","69000","0,1","0,8","5,7","1,7","3,6","1100","4000","13000","62","1,9","44000","71","2,5","66","1,1","31","0,5","0,5","1","1,9","30"
"DEN-0.8P1","2013-07-02  13:21:27","113","10,37","796","8","20","=","1500","1","0,1","490","0,8","60","0,1","97000","0,1","0,5","8,2","1,1","1,6","740","5200","19000","63","2,2","41000","27","2,3","48","0,6","15,9","0,5","0,5","1,3","2,1","8,9"
"DEN-0.8P1","2013-08-07  12:40:53",,,"1252","8,4","25,1","=","640","1","0,1","276","0,8","91,5","0,1","118000","0,1","0,6","6,7","1,1","1,6","447","14900","26700","76,3","23","92900","20","2,2","35","0,2","9,8","0,5","0,5","1,2","1,8","3"
"DEN-0.8P1","2013-09-10  14:14:31","107","10,42","1499","7,8","17,9","=","910","0","0,1","1310","0,9","155","0,1","149000","0,1","1,4","5,9","2,6","3,24","1800","40300","30200","165","68,6","149000","79","4,9","99","1,6","48","0,5","0,5","1,7","3,6","17,3"
"DEN-0.8P1","2013-10-28  13:36:02","103","12,15","930","8,1","8","=","27","0","0,1","1340","0,8","77,7","0,1","98000","0,1","1,1","5,1","2","3,13","1740","23700","19200","73,1","24","63200","120","4,2","70","1,4","50","0,5","0,5","1,6","4","17,5"
"DEN-2.6","2013-04-09  14:15:45","106","12,9","1571","6,7","6,7","=","1800","0","0,1","480","0,5","63","0,1","87000","0,54","0,8","4,1","3,7","7,9","810","3600","19000","42","2,7","200000","85","3,5","67","2","24","0,62","0,5","1,1","1,6","34"
"DEN-2.6","2013-05-07  13:16:04","120","11,88","1165","8","15,6","=","550","1","0,1","6500","5,3","250","0,36","100000","0,14","7,5","4,2","21","35","11000","6000","24000","220","5,7","140000","54","20","510","32","460","1,5","0,5","1","17","140"
"DEN-2.6","2013-05-29  13:00:42","94","9,4","660","8","15,2","=","10000","0","0,1","1500","1","58","0,1","63000","0,19","2,5","13,1","7,7","26","3100","2800","14000","130","2,5","63000","140","6,9","310","9,6","150","1,7","0,5","0,5","6,1","130"
