"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"SAR-1","2012-06-12  09:55:45","50","4,76","850","7,6","16,7","=","2500","1","0,1","184,2","0,7","54,3","0,1","92260","0,1","0,4","12,3","2,2","5,512","1209,4","2110","11246","1069,2","1","73780","235,6","11,5","204","2","4,5","0,5","0,5","1","0,2","0,8","17,5"
"SAR-1","2012-07-10  10:44:34","57","5,5","919","7,8","16,3","=","390","1","0,1","58,9","0,8","45,9","0,1","79620","0,1","0,3","12,1","1,9","2,508","1082,8","2596","10726","1436,1","1","93040","419,9","9,1","143","0,8","6,6","0,5","0,5","1","0,1","0,6","9,9"
"SAR-1","2012-08-07  10:09:38","48","4,35","917","7,8","17,9","=","17000","-2","0,1","62","0,9","42,3","0,1","71900","0,1","0,3","9,3","1,8","2,324","1088","3148","9024","983","1","93680","467","10,2","188","0,9","7,3","0,5","0,5","1","0,2","0,7","4,8"
"TER-0.6","2012-05-29  11:21:40","64","6,5","275","8,4","14,6","=","1300","0","0,1","824,4","0,6","29,3","0,1","26880","0,1","0,5","4,9","3,6","7,962","905,8","2164","5550","23","1,3","16522","394,9","2,7","81","2,1","19,2","0,53","0,5","1","0,3","2,5","23,6"
"TER-0.6","2012-06-19  12:12:29","90","8,6","151","7,9","17,6","=","590","1","0,1","54,9","0,5","42,3","0,1","75420","0,1","0,1","3,4","0,3","2,05","85,7","3878","20540","8,1","2,7","92460","20","1,3","72","0,2","2,3","0,5","0,5","1","1","1,3","9"
"TER-0.6","2012-07-23  13:12:15","71","6,3","75","7,8","21,3","=","380","1","0,1","48,5","0,4","31,6","0,1","62180","0,1","0,1","2,3","0,3","2,348","76","3136","15258","8,1","2,2","59700","20","0,7","55","0,2","1,2","0,5","0,5","1","0,7","1,2","13,8"
"TER-0.6","2012-09-05  11:18:28","53","4,72","417","8","20,7","=","11000","0","0,1","68,2","0,5","21,4","0,1","39960","0,1","0,1","5,9","0,9","4,246","100,7","3234","8108","7,6","1,7","28020","20","1,2","80","0,2","2,8","0,515","0,5","1","0,2","1,8","7"
"TER-0.6","2012-10-03  11:29:17","92","8,2","1143","7","14,8","=","1200","-2","0,1","34,6","0,4","50,3","0,1","90500","0,1","0,1","2,8","0,5","2,324","77,8","4660","21980","5,7","3",,"20","1,1","70","0,2","4,6","0,5","0,5","1","1,3","1,3","6,5"
"TER-0.6","2012-10-30  13:03:39","46","4,85","1918","8","12,8","=","320","0","0,1","44,9","0,4","77,8","0,1","148720","0,1","0,1","3","0,6","2,302","93,2","6972","40980","10,9","3,9","205632","20","1,6","76","0,2","2,8","0,5","0,5","1","2,7","1","7,7"
"TER-0.6","2012-11-20  11:42:44","87","11,24","1613","7","4,5","=","54","1","0,1","213,6","0,4","54,4","0,1","113874","0,1","0,2","2,3","1,1","2,18","308","5150","34660","19,1","2,4","159742","20","1,6","58","0,8","4,6","0,5","0,5","1","1,4","1","9,1"
