"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO","Précipitation totale (mm)"
"BLAP-6",2014/09/16,"17,2",224,"8,2","=",26,1,0
"BLAP-6",2014/10/01,"17,0",213,"8,3","=",15,1,0
"BLAP-6",2014/08/13,"22,3",279,"8,3","=",23,0,27
"BLAP-6",2014/10/07,"15,0",186,"8,1","=",15,0,2
"BLAP-6",2014/10/15,"14,7",199,"8,0","=",7,0,1
"BLAP-6",2014/07/08,"21,0",247,"8,2","=",25,-1,9
"BLAP-6",2014/07/16,"21,1",263,"8,3","=",18,-1,2
"BLAP-6",2014/09/24,"16,0",208,"8,2","=",11,-1,1
"BLAP-6",2014/07/30,"20,9",263,"8,3","=",21,-2,8
"BLAP-6",2014/09/02,"22,3",244,"8,2","=",21,-2,10
"BLAP-7",2014/06/03,"16,5",236,"7,9","=",150,1,0
"BLAP-7",2014/06/11,"17,6",275,"8,0","=",27,1,0
"BLAP-7",2014/06/17,"17,7",316,"7,8","=",100,1,0
"BLAP-7",2014/06/23,"19,0",299,"7,9","=",27,1,0
"BLAP-7",2014/07/02,"21,7",302,"8,0","=",120,1,0
"BLAP-7",2014/07/21,"21,7",288,"8,2","=",58,1,0
"BLAP-7",2014/08/04,"22,2",302,"8,2","=",100,1,0
"BLAP-7",2014/08/19,"19,7",293,"8,1","=",62,1,0
"BLAP-7",2014/08/27,"22,3",324,"8,2","=",86,1,0
"BLAP-7",2014/09/09,"21,1",276,"8,1","=",33,1,0
"BLAP-7",2014/09/16,"17,2",258,"8,1","=",44,1,0
"BLAP-7",2014/10/01,"16,9",256,"8,2","=",31,1,0
"BLAP-7",2014/10/15,"14,9",255,"7,9","=",23,0,1
"BLAP-7",2014/08/13,"21,6",242,"8,1","=",1300,0,27
"BLAP-7",2014/10/07,"15,2",354,"7,8","=",200,0,2
"BLAP-7",2014/07/08,"20,4",293,"8,0","=",110,-1,9
"BLAP-7",2014/07/16,"20,7",335,"8,2","=",8,-1,2
"BLAP-7",2014/09/24,"14,0",261,"8,1","=",21,-1,1
"BLAP-7",2014/07/30,"20,5",315,"8,1","=",10,-2,8
"BLAP-7",2014/09/02,"22,1",279,"8,1","=",18,-2,10
"BLAP-8.5",2014/06/03,"16,8",196,"8,1","=",26,1,0
"BLAP-8.5",2014/06/11,"18,0",224,"8,2","<",10,1,0
"BLAP-8.5",2014/06/17,"18,3",226,"8,1","=",20,1,0
"BLAP-8.5",2014/06/23,"19,7",230,"8,1","=",5,1,0
"BLAP-8.5",2014/07/02,"22,1",259,"8,2","=",13,1,0
"BLAP-8.5",2014/07/21,"22,0",258,"8,5","=",3,1,0
"BLAP-8.5",2014/08/04,"22,5",279,"8,5","=",26,1,0
"BLAP-8.5",2014/08/19,"20,2",229,"8,3","=",13,1,0
"BLAP-8.5",2014/08/27,"22,6",191,"8,5","=",36,1,0
"BLAP-8.5",2014/09/09,"21,6",253,"8,3","=",23,1,0
"BLAP-8.5",2014/09/16,"17,4",248,"8,3","=",15,1,0
"BLAP-8.5",2014/10/01,"17,0",237,"8,4","=",8,1,0
"BLAP-8.5",2014/08/13,"22,2",287,"8,3","=",52,0,27
"BLAP-8.5",2014/10/07,"15,2",220,"8,1","=",40,0,2
"BLAP-8.5",2014/10/15,"15,0",225,"8,0","=",13,0,1
"BLAP-8.5",2014/07/08,"21,0",259,"8,2","=",23,-1,9
"BLAP-8.5",2014/07/16,"21,2",268,"8,4","=",13,-1,2
"BLAP-8.5",2014/09/24,"16,2",238,"8,3","=",10,-1,1
"BLAP-8.5",2014/07/30,"21,0",272,"8,4","=",11,-2,8
"BLAP-8.5",2014/09/02,"22,4",258,"8,3","=",18,-2,10
"BLAP-9",2014/06/03,"18,3",194,"8,8","=",18,1,0
"BLAP-9",2014/06/11,"19,1",222,"8,6","=",31,1,0
"BLAP-9",2014/06/17,"19,3",223,"8,1","=",46,1,0
"BLAP-9",2014/06/23,"20,7",230,"8,3","=",25,1,0
"BLAP-9",2014/07/02,"23,1",158,"8,6","=",20,1,0
"BLAP-9",2014/07/21,"22,0",259,"8,3","=",74,1,0
"BLAP-9",2014/08/04,"23,0",281,"8,5","=",26,1,0
"BLAP-9",2014/08/19,"20,6",242,"8,4","=",56,1,0
"BLAP-9",2014/08/27,"22,8",264,"8,5","=",390,1,0
"BLAP-9",2014/09/09,"21,4",183,"8,4","=",64,1,0
"BLAP-9",2014/09/16,"16,8",241,"8,2","=",40,1,0
"BLAP-9",2014/10/01,"16,4",230,"8,4","=",11,1,0
"BLAP-9",2014/08/13,"21,7",282,"7,9","=",55,0,27
"BLAP-9",2014/10/07,"14,9",207,"7,9","=",20,0,2
"BLAP-9",2014/10/15,"15,0",223,"8,0","=",20,0,1
"BLAP-9",2014/07/08,"21,8",255,"8,6","=",48,-1,9
"BLAP-9",2014/07/16,"22,5",270,"8,5","=",25,-1,2
"BLAP-9",2014/09/24,"15,9",226,"8,6","=",20,-1,1
"BLAP-9",2014/07/30,"21,1",271,"8,4","=",33,-2,8
"BLAP-9",2014/09/02,"22,3",254,"8,2","=",20,-2,10
"FSL-190",2014/06/03,"15,6",266,"8,2","=",5,1,0
"FSL-190",2014/06/11,"16,7",287,"8,4","<",2,1,0
"FSL-190",2014/06/17,"17,3",283,"8,2","=",18,1,0
"FSL-190",2014/06/23,"18,5",283,"8,2","=",5,1,0
"FSL-190",2014/07/02,"21,0",288,"8,3","=",11,1,0
"FSL-190",2014/07/21,"21,2",288,"8,5","=",2,1,0
"FSL-190",2014/08/04,"21,8",307,"8,5","=",10,1,0
"FSL-190",2014/08/19,"20,0",298,"8,4","=",10,1,0
"FSL-190",2014/08/27,"22,1",295,"8,5","=",7,1,0
"FSL-190",2014/09/09,"21,2",303,"8,4","=",5,1,0
"FSL-190",2014/09/16,"18,0",305,"8,3","=",3,1,0
"FSL-190",2014/10/01,"17,6",300,"8,5","=",7,1,0
"FSL-190",2014/08/13,"22,3",305,"8,4","=",120,0,29
"FSL-190",2014/10/07,"16,2",301,"8,2","=",7,0,2
"FSL-190",2014/10/15,"15,1",299,"8,0","=",25,0,1
"FSL-190",2014/07/08,"20,4",303,"8,3","=",2,-1,9
"FSL-190",2014/07/16,"20,4",300,"8,4","=",11,-1,2
"FSL-190",2014/09/24,"16,8",305,"8,4","=",20,-1,1
"FSL-190",2014/07/30,"20,7",301,"8,4","=",42,-2,8
"FSL-190",2014/09/02,"21,9",297,"8,4","=",31,-2,10
"FSL-200",2014/06/03,"18,8",178,"8,1","=",110,1,0
"FSL-200",2014/06/11,"19,2",230,"8,2","=",23,1,0
"FSL-200",2014/06/17,"20,1",226,"8,0","=",31,1,0
"FSL-200",2014/06/23,"20,2",243,"8,2","=",16,1,0
"FSL-200",2014/07/02,"22,9",258,"8,2","=",7,1,0
"FSL-200",2014/07/21,"22,3",268,"8,5","=",26,1,0
"FSL-200",2014/08/04,"22,8",285,"8,4","=",52,1,0
"FSL-200",2014/08/19,"20,7",272,"8,3","=",21,1,0
"FSL-200",2014/08/27,"22,7",266,"8,5","=",10,1,0
"FSL-200",2014/09/09,"22,1",270,"8,4","=",26,1,0
"FSL-200",2014/09/16,"17,9",261,"8,4","=",38,1,0
"FSL-200",2014/10/01,"17,6",238,"8,5","=",46,1,0
"FSL-200",2014/08/13,"22,9",288,"8,5","=",8,0,29
"FSL-200",2014/10/07,"15,8",241,"8,3","=",590,0,2
"FSL-200",2014/10/15,"15,3",227,"8,2","=",530,0,1
"FSL-200",2014/07/08,"21,4",275,"8,2","=",16,-1,9
"FSL-200",2014/07/16,"21,9",276,"8,4","=",11,-1,2
"FSL-200",2014/09/24,"16,5",258,"8,4","=",20,-1,1
"FSL-200",2014/07/30,"21,5",276,"8,4","=",84,-2,8
"FSL-200",2014/09/02,"22,3",268,"8,4","=",310,-2,10
"FSL-300",2014/06/03,"16,7",217,"8,1","=",12,1,0
"FSL-300",2014/06/11,"17,4",250,"8,2","=",3,1,0
"FSL-300",2014/06/17,"17,9",245,"8,1","=",25,1,0
"FSL-300",2014/06/23,"19,1",257,"8,2","=",21,1,0
"FSL-300",2014/07/02,"21,5",271,"8,2","=",25,1,0
"FSL-300",2014/07/21,"21,7",271,"8,4","=",2,1,0
"FSL-300",2014/08/04,"22,2",290,"8,4","=",15,1,0
"FSL-300",2014/08/19,"20,1",269,"8,3","=",16,1,0
"FSL-300",2014/08/27,"22,3",278,"8,4","=",43,1,0
"FSL-300",2014/09/09,"25,4",275,"8,3","=",20,1,0
"FSL-300",2014/09/16,"17,7",273,"8,3","=",16,1,0
"FSL-300",2014/10/01,"17,3",265,"8,4","=",5,1,0
"FSL-300",2014/08/13,"22,3",297,"8,4","=",1200,0,32
"FSL-300",2014/10/07,"15,6",259,"8,2","=",38,0,3
"FSL-300",2014/10/15,"15,1",264,"8,1","=",11,0,1
"FSL-300",2014/07/08,"20,5",277,"8,2","=",31,-1,9
"FSL-300",2014/07/16,"20,8",281,"8,5","=",10,-1,2
