"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"BLAP-2.8","2011-05-18  09:53:20","10,9","119","8,1","=","27"
"BLAP-2.8","2011-06-27  09:33:27","19,6","236","8,1","=","15"
"BLAP-2.8","2011-09-28  09:06:22","18,9","283","8,6","=","64"
"BLAP-3","2011-06-08  09:03:17","18","219","8,2","=","21"
"BLAP-3","2011-07-06  08:57:57","22","254","7,9","=","110"
"BLAP-3","2011-07-18  08:46:22","23,7","251","8,1","=","21"
"BLAP-3","2011-09-19  08:59:47","17,3","231","8,5","=","42"
"BLAP-3","2011-06-21  09:57:16","20","254","8,3","=","23"
"BLAP-3","2011-08-29  09:24:31","19,7","245","8,2","=","550"
"BLAP-3","2011-09-13  09:02:02","20,7","253","8,2","=","560"
"BLAP-3","2011-05-24  09:37:00","15,3","164","8,1","=","10"
"BLAP-3","2011-05-30  09:32:35","14,8","216","8,2","=","88"
"BLAP-3","2011-06-14  09:19:47","16,8","214","8,2","=","62"
"BLAP-3","2011-07-12  09:15:22","22,9","240","8,1","=","16"
"BLAP-3","2011-07-27  08:51:42","23,4","243","8,3","=","21"
"BLAP-3","2011-08-02  08:28:05","23,9","255","8,1","=","2100"
"BLAP-3","2011-08-08  09:28:12","24,7","262","8,3","=","54"
"BLAP-3","2011-08-17  09:02:44","22,9","252","8,3","=","56"
"BLAP-3","2011-08-23  09:03:56","21,4","274","8,3","=","66"
"BLAP-3","2011-09-07  08:51:58","20,5","257","8,2","=","25"
"BLAP-3","2011-05-18  10:07:16","10,8","132","8","=","18"
"BLAP-3","2011-06-27  09:47:22","19,7","237","8","=","18"
"BLAP-3","2011-09-28  09:13:12","18,7","283","8,4","=","70"
"BLAP-4","2011-09-19  09:06:22","17,5","231","8,5","=","38"
"BLAP-4","2011-06-08  09:10:23","18","215","8,3","=","26"
"BLAP-4","2011-07-06  09:06:59","21,9","254","8","=","120"
"BLAP-4","2011-07-18  08:54:01","23,8","251","8,1","=","21"
"BLAP-4","2011-09-13  09:10:33","20,8","253","8,3","=","410"
"BLAP-4","2011-06-21  10:05:08","20,4","256","8,4","=","170"
"BLAP-4","2011-08-29  09:35:25","20","246","8,3","=","600"
"BLAP-4","2011-09-07  08:59:06","20,5","253","8,2","=","27"
"BLAP-4","2011-05-24  09:46:00","15,5","160","8","=","26"
"BLAP-4","2011-05-30  09:43:13","14,9","216","8,2","=","160"
"BLAP-4","2011-06-14  09:28:25","16,9","217","8,1","=","78"
"BLAP-4","2011-07-12  09:23:23","23","239","8,1","=","52"
"BLAP-4","2011-07-27  08:59:25","23,4","243","8,2","=","23"
"BLAP-4","2011-08-02  08:35:42","24","255","8,1","=","1600"
"BLAP-4","2011-08-08  09:36:52","24,6","260","8,3","=","18"
"BLAP-4","2011-08-17  09:11:02","23,1","251","8,3","=","17"
"BLAP-4","2011-08-23  09:11:00","21,4","270","8,2","=","66"
"BLAP-4","2011-09-28  09:22:09","18,8","283","8,4","=","68"
"BLAP-4","2011-05-18  10:17:24","10,9","131","7,9","=","9"
"BLAP-4","2011-06-27  09:58:58","19,8","236","8","=","58"
"BLAP-4.5","2011-06-08  09:29:51","17,8","213","8,4","=","7"
"BLAP-4.5","2011-07-06  09:19:12","21,8","255","8","=","470"
"BLAP-4.5","2011-07-18  09:20:15","23,8","250","8,2","=","21"
"BLAP-4.5","2011-09-19  09:36:34","17,6","232","8,5","=","72"
"BLAP-4.5","2011-06-21  10:30:19","19,9","256","8,3","=","45"
"BLAP-4.5","2011-08-29  09:57:43","19,9","241","8,3","=","3700"
"BLAP-4.5","2011-09-13  09:39:52","20,9","253","8,3","=","550"
"BLAP-4.5","2011-05-24  10:10:00","15,2","57","7,8","=","18"
"BLAP-4.5","2011-05-30  10:07:37","14,6","214","8","=","46"
"BLAP-4.5","2011-06-14  09:52:14","16,9","216","7,9","=","900"
"BLAP-4.5","2011-07-12  09:45:36","22,9","230","8,1","=","36"
"BLAP-4.5","2011-07-27  09:22:21","23,4","244","8,3","=","15"
"BLAP-4.5","2011-08-02  08:55:15","24","255","8,2",">","6000"
"BLAP-4.5","2011-08-08  09:57:44","24,7","260","8,3","=","130"
"BLAP-4.5","2011-08-17  09:31:32","23,1","252","8,3","=","230"
"BLAP-4.5","2011-08-23  09:38:46","21,6","273","8,3","=","1100"
"BLAP-4.5","2011-09-07  09:29:54","20,5","252","8,3","=","640"
"BLAP-4.5","2011-05-18  10:42:12","10,8","126","7,9","=","120"
"BLAP-4.5","2011-06-27  10:21:31","19,8","235","8,1","=","320"
"BLAP-4.5","2011-09-28  09:42:24","18,9","283","8,4","=","16"
"BLAP-5.5","2011-06-08  09:52:59","18","216","8,4","=","7"
"BLAP-5.5","2011-07-06  09:31:00","21,9","257","8","=","15"
"BLAP-5.5","2011-07-18  09:38:30","23,7","261","8,3","=","3"
"BLAP-5.5","2011-09-19  09:54:11","17,2","251","8,4","=","39"
"BLAP-5.5","2011-06-21  10:54:44","19,5","266","8,1","=","2"
"BLAP-5.5","2011-08-29  10:17:27","19,7","260","8,3","=","100"
"BLAP-5.5","2011-09-13  09:59:12","20,9","266","8,4","=","62"
"BLAP-5.5","2011-05-24  10:34:00","14,9","186","8","=","8"
"BLAP-5.5","2011-05-30  10:31:59","14,5","220","8,2","=","8"
"BLAP-5.5","2011-06-14  10:15:38","16,8","223","8,1","=","8"
"BLAP-5.5","2011-07-12  10:03:36","22,8","251","8,2","=","3"
"BLAP-5.5","2011-07-27  09:41:19","23,3","259","8,3","=","10"
"BLAP-5.5","2011-08-02  09:14:32","23,8","265","8,3","=","33"
"BLAP-5.5","2011-08-08  10:14:58","24,6","267","8,4","=","13"
"BLAP-5.5","2011-08-17  09:49:00","22,9","264","8,4","=","42"
"BLAP-5.5","2011-08-23  09:56:16","21,1","285","8,4","=","21"
"BLAP-5.5","2011-09-07  09:48:06","20,7","264","8,3","=","42"
"BLAP-5.5","2011-05-18  11:05:16","10,8","145","7,9","=","27"
"BLAP-5.5","2011-06-27  10:45:15","19,3","250","8","=","3"
"BLAP-5.5","2011-09-28  10:00:20","18,9","289","8,4","=","40"
"BLAP-6","2011-06-08  10:43:47","17,9","213","8,4","=","5"
"BLAP-6","2011-07-18  10:21:38","23,9","257","8,3","=","13"
"BLAP-6","2011-09-19  10:41:13","17,8","244","8,5","=","7"
"BLAP-6","2011-06-21  11:47:42","19,8","265","8,5","=","7"
"BLAP-6","2011-07-06  10:07:43","21,9","255","8,1","=","18"
"BLAP-6","2011-08-29  11:06:47","20","253","8,4","=","76"
"BLAP-6","2011-09-13  10:47:37","21,1","262","8,4","=","44"
"BLAP-6","2011-05-24  11:27:00","15,2","175","7,8","=","15"
"BLAP-6","2011-05-30  11:27:36","14,9","218","8,1","=","18"
"BLAP-6","2011-06-14  11:06:52","17,1","220","8,1","=","5"
"BLAP-6","2011-07-12  10:48:23","23","246","8,3","=","7"
"BLAP-6","2011-07-27  10:29:11","23,5","253","8,4","=","10"
"BLAP-6","2011-08-02  09:59:07","24,1","262","8,3","=","44"
"BLAP-6","2011-08-08  11:03:06","24,7","265","8,5","=","25"
"BLAP-6","2011-08-17  10:38:40","23,3","260","8,5","=","42"
"BLAP-6","2011-08-23  10:40:02","21,4","281","8,5","=","28"
"BLAP-6","2011-09-07  10:36:30","20,9","261","8,3","=","20"
"BLAP-6","2011-05-18  11:57:02","11","135","8","=","54"
"BLAP-6","2011-06-27  11:41:05","19,7","244","8,2","=","10"
"BLAP-6","2011-09-28  10:45:26","19,1","287","8,5","=","30"
"BLAP-7","2011-06-08  10:32:38","17,3","258","8,4","=","50"
"BLAP-7","2011-07-18  10:13:13","23,4","300","8,1","=","55"
"BLAP-7","2011-09-19  10:32:35","17,6","321","8,3","=","240"
"BLAP-7","2011-06-21  11:35:47","19,3","316","8,1","=","31"
"BLAP-7","2011-07-06  10:01:00","21,5","299","8","=","27"
"BLAP-7","2011-08-29  10:56:41","19,6","390","8","=","250"
