"Année-Mois";"Station";"Engin";"Latitude";"Longitude";"Secteur";"Espèce";"Commentaires";"Présence / Absence"
"2010-09";"F252";"Filet maillant";"46.08055";"-73.08627";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2009-09";"F242";"Filet maillant";"45.09767";"-74.42874";"Lac Saint-François";"Perchaude";"";"Présence"
"2002-09";"F076";"Filet maillant";"46.14913";"-72.86397";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1995-09";"F110";"Filet maillant";"46.15333";"-73.04528";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2008-09";"F133";"Filet maillant";"46.43413";"-72.33165";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2011-09";"F058";"Filet maillant";"46.12887";"-72.94366";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2003-09";"F222";"Filet maillant";"46.12253";"-73.07625";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F059";"Filet maillant";"46.14113";"-72.94208";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2011-09";"F28";"Filet maillant";"45.34268";"-73.93295";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2002-09";"F110";"Filet maillant";"46.23345";"-72.74507";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1995-09";"F138";"Filet maillant";"46.11111";"-73.00944";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F152";"Filet maillant";"46.45976";"-72.23863";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2011-09";"F31";"Filet maillant";"45.34491";"-73.91792";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2001-09";"F83";"Filet maillant";"45.88332";"-73.25613";"Montréal-Sorel";"Perchaude";"";"Présence"
"1997-09";"F23";"Filet maillant";"45.37444";"-73.88333";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1995-09";"F50";"Filet maillant";"46.21028";"-72.72833";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2003-09";"F208";"Filet maillant";"46.1433";"-73.08778";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F155";"Filet maillant";"46.46844";"-72.23985";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2013-09";"F113";"Filet maillant";"46.23569";"-72.70467";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"1996-09";"F6";"Filet maillant";"46.42361";"-72.27056";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2008-09";"F156";"Filet maillant";"46.46902";"-72.23294";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"1997-09";"F37";"Filet maillant";"45.39778";"-73.80278";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1996-09";"F106";"Filet maillant";"45.19306";"-74.245";"Lac Saint-François";"Perchaude";"";"Présence"
"2010-09";"F207";"Filet maillant";"46.13751";"-73.10344";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2004-09";"F213";"Filet maillant";"45.19051";"-74.2185";"Lac Saint-François";"Perchaude";"";"Présence"
"2001-09";"F18";"Filet maillant";"45.64628";"-73.46042";"Montréal-Sorel";"Perchaude";"";"Présence"
"1995-09";"F123";"Filet maillant";"46.13389";"-73.06528";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F094";"Filet maillant";"46.1925";"-72.80118";"Lac Saint-Pierre";"Perchaude";"";"Présence"
