Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
Jul-01,45.75745,-73.4079,Hybride,Seine de rivage,Montréal-Sorel,Île Beauregard,EC-CSL,2
Jun-00,45.2907,-72.9947,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Yamaska,UQTR,2
Oct-01,46.741333,-71.29365,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
Jun-00,46.987778,-70.65611,Écrevisse à épines,Chalut,Saint-Nicolas - Montmagny,Montmagny,EC-CSL,3
Oct-01,46.893665,-71.12258,Écrevisse à épines,Seine de rivage 3 mm,Saint-Nicolas - Montmagny,Boischatel,EC-CSL,1
Sep-02,45.333782,-73.85477,Écrevisse à épines,unknown,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Sep-02,45.4104,-73.5725,Orconectes sp.,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,3
Jul-00,46.0282,-71.918,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Nicolet,UQTR,3
Jul-00,46.028,-72.0217,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Nicolet,UQTR,2
Sep-02,45.475,-73.27167,Écrevisse à épines,Manuelle,Chambly-St-Ours,St-Mathias,EC-CSL,1
Aug-01,45.037777,-74.58861,Écrevisse à pinces bleues,Manuelle,Lac Saint-François,Lac St-François,EC-CSL,2
Jun-01,46.68783,-71.504814,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,Saint-Antoine de Tilly,EC-CSL,71
Jul-01,46.74153,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,132
Oct-01,46.77157,-71.21478,Écrevisse de ruisseau,Manuelle,Saint-Nicolas - Montmagny,St-Romuald,EC-CSL,2
Jun-01,46.183334,-72.76667,Écrevisse à épines,unknown,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,1
Aug-01,46.74165,-71.29387,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
Jun-01,46.74165,-71.29387,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,9
Jun-00,45.433334,-73.7375,Hybride,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,3
